best_stage,draws,goals_against,goals_for,knockout_matches,losses,penalty_shootouts,round_of_16_matches,team,wins
third-place match,0,21,7,11,8,2,3,Norway,3
final,0,43,49,30,13,5,9,Brazil,17
final,0,24,45,25,7,5,7,France,18
quarter-finals,0,3,0,4,3,1,3,Paraguay,1
final,0,29,64,32,9,2,7,Germany,23
round of 16,0,13,4,6,6,0,6,Mexico,0
final,0,20,29,20,8,4,7,Netherlands,12
final,0,17,18,12,3,4,3,Croatia,9
final,0,22,24,15,5,5,6,Argentina,10
third-place match,0,27,31,22,12,4,8,England,10
final,0,25,20,16,8,0,5,Sweden,8
final,0,29,46,25,7,3,6,United States,18
quarter-finals,0,5,2,3,2,0,2,Senegal,1
final,0,7,8,10,5,4,6,Spain,5
third-place match,0,8,9,7,3,0,3,Belgium,4
final,0,17,17,12,6,3,6,Japan,6
third-place match,0,8,5,6,4,0,2,Canada,2
round of 16,0,1,0,1,1,0,1,Ecuador,0
third-place match,0,9,9,8,5,1,4,Portugal,3
round of 16,0,11,6,7,6,1,4,Australia,1
round of 16,0,9,1,5,5,1,5,Switzerland,0
quarter-finals,0,5,3,3,2,1,2,Ghana,1
quarter-finals,0,5,4,4,3,1,3,Colombia,1
round of 16,0,2,1,1,1,0,1,Algeria,0
third-place match,0,4,2,4,2,1,1,Morocco,2
