captured_at,note,source,source_fixture,source_match_no,team
2026-07-10T13:57:27.696236+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,South Africa vs. Canada,73,South Africa
2026-07-10T13:57:27.696239+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,South Africa vs. Canada,73,Canada
2026-07-10T13:57:27.696241+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Germany vs. Paraguay,74,Germany
2026-07-10T13:57:27.696242+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Germany vs. Paraguay,74,Paraguay
2026-07-10T13:57:27.696244+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Netherlands vs. Morocco,75,Netherlands
2026-07-10T13:57:27.696245+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Netherlands vs. Morocco,75,Morocco
2026-07-10T13:57:27.696245+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Brazil vs. Japan,76,Brazil
2026-07-10T13:57:27.696246+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Brazil vs. Japan,76,Japan
2026-07-10T13:57:27.696247+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,France vs. Sweden,77,France
2026-07-10T13:57:27.696248+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,France vs. Sweden,77,Sweden
2026-07-10T13:57:27.696249+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Côte d'Ivoire vs. Norway,78,Côte d'Ivoire
2026-07-10T13:57:27.696250+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Côte d'Ivoire vs. Norway,78,Norway
2026-07-10T13:57:27.696251+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Mexico vs. Ecuador,79,Mexico
2026-07-10T13:57:27.696252+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Mexico vs. Ecuador,79,Ecuador
2026-07-10T13:57:27.696253+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,England vs. Congo DR,80,England
2026-07-10T13:57:27.696254+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,England vs. Congo DR,80,Congo DR
2026-07-10T13:57:27.696254+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,USA vs. Bosnia and Herzegovina,81,USA
2026-07-10T13:57:27.696255+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,USA vs. Bosnia and Herzegovina,81,Bosnia and Herzegovina
2026-07-10T13:57:27.696256+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Belgium vs. Senegal,82,Belgium
2026-07-10T13:57:27.696257+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Belgium vs. Senegal,82,Senegal
2026-07-10T13:57:27.696258+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Portugal vs. Croatia,83,Portugal
2026-07-10T13:57:27.696259+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Portugal vs. Croatia,83,Croatia
2026-07-10T13:57:27.696260+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Spain vs. Austria,84,Spain
2026-07-10T13:57:27.696260+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Spain vs. Austria,84,Austria
2026-07-10T13:57:27.696261+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Switzerland vs. Algeria,85,Switzerland
2026-07-10T13:57:27.696262+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Switzerland vs. Algeria,85,Algeria
2026-07-10T13:57:27.696263+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Argentina vs. Cabo Verde,86,Argentina
2026-07-10T13:57:27.696264+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Argentina vs. Cabo Verde,86,Cabo Verde
2026-07-10T13:57:27.696265+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Colombia vs. Ghana,87,Colombia
2026-07-10T13:57:27.696266+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Colombia vs. Ghana,87,Ghana
2026-07-10T13:57:27.696267+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Australia vs. Egypt,88,Australia
2026-07-10T13:57:27.696268+00:00,Equipe presente em jogo oficial de Round of 32; portanto classificada entre as 32.,Official FIFA Round of 32 fixture list,Australia vs. Egypt,88,Egypt
