team,matches_found_last_year,latest_match_date,oldest_included_date,wins,draws,losses,home,away,neutral
Algeria,20,2026-06-03,2025-06-09,14,4,2,4,3,13
Argentina,9,2026-06-06,2025-06-10,7,1,1,4,2,3
Australia,11,2026-06-06,2025-06-10,6,1,4,3,4,4
Austria,10,2026-06-01,2025-06-10,8,1,1,6,4,0
Belgium,11,2026-06-06,2025-06-09,8,3,0,5,5,1
Bosnia and Herzegovina,11,2026-06-06,2025-06-10,3,6,2,4,6,1
Brazil,11,2026-06-06,2025-06-10,7,1,3,3,3,5
Canada,15,2026-06-05,2025-06-10,6,8,1,8,2,5
Cape Verde,10,2026-06-06,2025-09-04,4,4,2,2,2,6
Colombia,11,2026-06-07,2025-06-10,7,2,2,2,2,7
Croatia,11,2026-06-07,2025-06-09,8,1,2,6,3,2
Curaçao,14,2026-06-06,2025-06-10,5,5,4,4,5,5
Czech Republic,11,2026-06-04,2025-06-09,5,4,2,7,3,1
DR Congo,13,2026-06-03,2025-09-05,8,3,2,2,2,9
Ecuador,11,2026-06-07,2025-06-10,4,7,0,1,6,4
Egypt,20,2026-06-06,2025-09-05,9,7,4,3,3,14
England,10,2026-06-06,2025-06-10,7,1,2,6,3,1
France,10,2026-06-08,2025-09-05,8,1,1,5,2,3
Germany,10,2026-06-06,2025-09-04,9,0,1,5,5,0
Ghana,10,2026-06-02,2025-09-04,3,2,5,2,7,1
Haiti,14,2026-06-05,2025-06-10,4,4,6,0,4,10
Iran,9,2026-06-04,2025-06-10,5,2,2,1,1,7
Iraq,14,2026-06-04,2025-06-10,9,3,2,1,5,8
Ivory Coast,15,2026-06-04,2025-06-10,10,3,2,2,5,8
Japan,10,2026-05-31,2025-06-10,7,2,1,6,3,1
Jordan,17,2026-06-07,2025-06-10,6,3,8,2,4,11
Mexico,20,2026-06-04,2025-06-14,11,7,2,6,3,11
Morocco,20,2026-06-07,2025-11-14,15,5,0,11,0,9
Netherlands,11,2026-06-08,2025-06-10,7,3,1,7,3,1
New Zealand,11,2026-06-06,2025-06-10,1,1,9,3,3,5
Norway,11,2026-06-07,2025-06-09,7,3,1,7,3,1
Panama,18,2026-06-06,2025-06-10,9,7,2,6,7,5
Paraguay,10,2026-06-05,2025-06-10,4,2,4,2,6,2
Portugal,9,2026-06-06,2025-09-06,6,2,1,4,5,0
Qatar,12,2026-06-06,2025-06-10,1,5,6,9,2,1
Saudi Arabia,20,2026-06-05,2025-06-10,8,3,9,6,3,11
Scotland,11,2026-06-06,2025-06-09,7,1,3,5,3,3
Senegal,17,2026-05-31,2025-06-10,13,1,3,3,5,9
South Africa,14,2026-06-06,2025-06-10,7,4,3,9,0,5
South Korea,11,2026-06-03,2025-06-10,7,1,3,5,2,4
Spain,10,2026-06-08,2025-09-04,7,3,0,6,3,1
Sweden,11,2026-06-04,2025-06-10,3,3,5,6,4,1
Switzerland,11,2026-06-06,2025-06-10,6,4,1,5,5,1
Tunisia,18,2026-06-06,2025-09-04,8,6,4,5,5,8
Turkey,11,2026-06-06,2025-06-10,8,1,2,5,4,2
United States,17,2026-06-06,2025-06-10,9,2,6,17,0,0
Uruguay,9,2026-03-31,2025-06-10,4,4,1,2,4,3
Uzbekistan,10,2026-06-08,2025-06-10,4,3,3,4,1,5
